[2021-05-30  00:00:45.291]   [YDZFDemo::InitWindow   403]  ===> [C:\Users\wangjixiang\Desktop\AxeCode\XTP\src\app\resources\external\sso\MedInterface_All.dll]
[2021-05-30  00:01:24.622]   [YDZFDemo::Notify   315]  ===> [strHospCode length=12]
[2021-05-30  00:01:24.622]   [YDZFDemo::Notify   324]  ===> [330000101001]
[2021-05-30  00:01:24.623]   [YDZFDemo::Notify   325]  ===> [01301]
[2021-05-30  00:01:24.624]   [YDZFDemo::Notify   327]  ===> [33]
[2021-05-30  00:01:24.624]   [YDZFDemo::Notify   328]  ===> [33]
[2021-05-30  00:01:24.625]   [YDZFDemo::Notify   329]  ===> []
[2021-05-30  00:01:24.625]   [YDZFDemo::Notify   330]  ===> []
[2021-05-30  00:01:40.265]   [YDZFDemo::Notify   315]  ===> [strHospCode length=12]
[2021-05-30  00:01:40.265]   [YDZFDemo::Notify   324]  ===> [330000101001]
[2021-05-30  00:01:40.266]   [YDZFDemo::Notify   325]  ===> [01301]
[2021-05-30  00:01:40.266]   [YDZFDemo::Notify   327]  ===> [33]
[2021-05-30  00:01:40.267]   [YDZFDemo::Notify   328]  ===> [33]
[2021-05-30  00:01:40.267]   [YDZFDemo::Notify   329]  ===> []
[2021-05-30  00:01:40.268]   [YDZFDemo::Notify   330]  ===> []
[2021-05-30  00:01:41.210]   [YDZFDemo::Notify   315]  ===> [strHospCode length=12]
[2021-05-30  00:01:41.210]   [YDZFDemo::Notify   324]  ===> [330000101001]
[2021-05-30  00:01:41.211]   [YDZFDemo::Notify   325]  ===> [01301]
[2021-05-30  00:01:41.212]   [YDZFDemo::Notify   327]  ===> [33]
[2021-05-30  00:01:41.212]   [YDZFDemo::Notify   328]  ===> [33]
[2021-05-30  00:01:41.213]   [YDZFDemo::Notify   329]  ===> []
[2021-05-30  00:01:41.213]   [YDZFDemo::Notify   330]  ===> []
